Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","22p","C_0805",202.565000,-103.212000,-90.000000,top
"C2","22p","C_0805",210.058000,-111.213000,-90.000000,top
"C3","100n","C_0805",231.900000,-79.650000,180.000000,top
"C4","10u","C_0805",213.900000,-133.350000,180.000000,top
"C5","10u","C_0805",211.300000,-131.350000,180.000000,top
"C6","10u","C_0805",76.835000,-80.225000,-90.000000,top
"C7","10u","C_0805",163.957000,-66.890000,-90.000000,top
"C8","10u","C_0805",88.900000,-80.225000,-90.000000,top
"C9","10u","C_0805",76.835000,-71.335000,-90.000000,top
"C10","10u","C_0805",165.735000,-120.230000,-90.000000,top
"C11","10u","C_0805",88.900000,-98.005000,-90.000000,top
"C12","10u","C_0805",76.835000,-115.785000,-90.000000,top
"C13","10u","C_0805",88.900000,-115.785000,-90.000000,top
"C14","10u","C_0805",76.835000,-106.895000,-90.000000,top
"C15","10u","C_0805",88.900000,-106.895000,-90.000000,top
"C16","10u","C_0805",192.747000,-66.802000,0.000000,top
"C17","10u","C_0805",201.422000,-92.290000,-90.000000,top
"C18","10u","C_0805",102.020000,-105.664000,180.000000,top
"C19","10u","C_0805",117.006000,-105.791000,180.000000,top
"C20","10u","C_0805",132.500000,-105.918000,180.000000,top
"C21","10u","C_0805",147.740000,-105.918000,180.000000,top
"C22","10u","C_0805",102.020000,-75.311000,180.000000,top
"C23","10u","C_0805",102.020000,-60.071000,180.000000,top
"C24","10u","C_0805",117.260000,-75.311000,180.000000,top
"C25","10u","C_0805",117.260000,-60.071000,180.000000,top
"C26","10u","C_0805",132.500000,-75.311000,180.000000,top
"C27","10u","C_0805",132.500000,-60.071000,180.000000,top
"C28","10u","C_0805",147.740000,-75.311000,180.000000,top
"C29","10u","C_0805",147.740000,-60.071000,180.000000,top
"C30","10u","C_0805",162.980000,-75.311000,180.000000,top
"C31","10u","C_0805",258.928500,-74.295000,180.000000,top
"C32","10u","C_0805",255.167500,-74.295000,0.000000,top
"C33","10u","C_0805",216.510500,-99.631500,180.000000,top
"C34","10u","C_0805",166.585000,-128.778000,0.000000,top
"C35","10u","C_0805",87.630000,-124.460000,180.000000,top
"C36","10u","C_0805",88.900000,-89.115000,-90.000000,top
"C37","10u","C_0805",209.867500,-104.433000,90.000000,top
"C38","10u","C_0805",102.020000,-90.551000,180.000000,top
"C39","10u","C_0805",117.260000,-90.551000,180.000000,top
"C40","10u","C_0805",132.500000,-90.551000,180.000000,top
"C41","10u","C_0805",147.740000,-90.551000,180.000000,top
"C42","10u","C_0805",162.980000,-90.551000,180.000000,top
"C43","10u","C_0805",163.957000,-56.730000,-90.000000,top
"C44","10u","C_0805",165.735000,-110.705000,-90.000000,top
"C45","10u","C_0805",76.835000,-98.005000,-90.000000,top
"C46","10u","C_0805",76.835000,-89.115000,-90.000000,top
"C47","10u","C_0805",102.020000,-44.831000,180.000000,top
"C48","10u","C_0805",117.260000,-44.831000,180.000000,top
"C49","10u","C_0805",132.500000,-44.831000,180.000000,top
"C50","10u","C_0805",147.740000,-44.831000,180.000000,top
"FID1","Fiducial","Fiducial",71.120000,-132.080000,-90.000000,top
"FID2","Fiducial","Fiducial",232.537000,-135.509000,180.000000,top
"FID3","Fiducial","Fiducial",234.950000,-37.338000,-90.000000,top
"FID4","Fiducial","Fiducial",73.533000,-38.100000,-90.000000,top
"FID5","Fiducial","Fiducial",260.223000,-99.949000,0.000000,top
"J1","MacNuBus","DIN41612_R_3x32_Male_Horizontal_THT",162.560000,-132.080000,180.000000,top
"J2","Xunpu TF-115","Xunpu_TF-115_microSD",210.700000,-45.000000,90.000000,top
"J3","microUSB-B","USB_Micro-B_ShouHan_MicroXNJ",233.650000,-109.850000,0.000000,top
"J4","JTAG","IDC-Header_2x05_P2.54mm_Vertical",229.870000,-52.959000,0.000000,top
"Q1","MMBT3904","SOT-23",212.414000,-94.700000,90.000000,top
"Q2","MMBT3904","SOT-23",206.814000,-94.700000,90.000000,top
"Q3","MMBT3904","SOT-23",212.414000,-98.700000,-90.000000,top
"Q4","MMBT3904","SOT-23",73.350000,-123.950000,180.000000,top
"Q5","MMBT3904","SOT-23",73.350000,-127.550000,180.000000,top
"R1","100","R_0805",251.758000,-74.275000,0.000000,top
"R2","100","R_0805",248.358000,-74.275000,180.000000,top
"R3","22","R_0805",244.958000,-74.275000,180.000000,top
"R4","100","R_0805",215.200000,-56.500000,90.000000,top
"R5","100","R_0805",217.200000,-56.500000,90.000000,top
"R6","47k","R_0805",213.200000,-56.500000,90.000000,top
"R7","47k","R_0805",219.200000,-56.500000,90.000000,top
"R8","100","R_0805",76.200000,-119.507000,180.000000,top
"R9","22","R_0805",172.085000,-74.041000,90.000000,top
"R10","1k","R_0805",231.900000,-85.650000,0.000000,top
"R11","100","R_0805",76.835000,-93.980000,90.000000,top
"R12","100","R_0805",225.171000,-55.433000,90.000000,top
"R13","10k","R_0805",231.900000,-87.650000,0.000000,top
"R14","10k","R_0805",225.171000,-58.862000,-90.000000,top
"R15","100","R_0805",231.900000,-81.650000,0.000000,top
"R16","10k","R_0805",225.171000,-50.485000,-90.000000,top
"R17","1k","R_0805",231.900000,-89.650000,180.000000,top
"R18","DNP","R_0805",221.742000,-103.693000,90.000000,top
"R19","1k","R_0805",219.710000,-103.693000,-90.000000,top
"R20","DNP","R_0805",231.900000,-91.650000,0.000000,top
"R21","DNP","R_0805",231.900000,-94.250000,180.000000,top
"R22","10k","R_0805",175.895000,-60.005000,-90.000000,top
"R23","DNP","R_0805",225.171000,-65.697000,90.000000,top
"R24","DNP","R_0805",225.171000,-62.296000,90.000000,top
"R25","22","R_0805",231.900000,-96.250000,180.000000,top
"R26","22","R_0805",231.900000,-98.250000,180.000000,top
"R27","1k","R_0805",72.300000,-120.450000,90.000000,top
"R28","10k","R_0805",231.900000,-83.650000,0.000000,top
"R29","10k","R_0805",215.214000,-94.700000,90.000000,top
"R30","10k","R_0805",209.614000,-94.700000,90.000000,top
"R31","1k","R_0805",80.071000,-64.643000,180.000000,top
"R32","1k","R_0805",83.759000,-64.643000,0.000000,top
"R33","22","R_0805",231.900000,-100.850000,180.000000,top
"R34","10k","R_0805",206.438500,-84.521000,90.000000,top
"R35","10k","R_0805",210.439000,-90.612000,90.000000,top
"R36","10k","R_0805",206.375000,-90.612000,-90.000000,top
"R37","1k","R_0805",100.838000,-94.041000,-90.000000,top
"R38","10k","R_0805",208.407000,-90.612000,90.000000,top
"U1","ESP-WROVER-32","ESP32-WROVER_WROOM-32_WROVER",255.778000,-86.995000,180.000000,top
"U2","SST39SF040","PLCC-32_SMDSocket",190.627000,-78.740000,0.000000,top
"U3","CH340G","SOIC-16_3.9mm",214.884000,-105.918000,-90.000000,top
"U4","74LVC245AD","SOIC-20W_7.5mm",108.585000,-113.030000,0.000000,top
"U5","74LVC574AD","SOIC-20W_7.5mm",108.585000,-97.790000,0.000000,top
"U6","74LVC574AD","SOIC-20W_7.5mm",123.825000,-97.790000,0.000000,top
"U7","74LVC574AD","SOIC-20W_7.5mm",139.065000,-97.790000,0.000000,top
"U8","74LVC574AD","SOIC-20W_7.5mm",154.305000,-97.790000,0.000000,top
"U9","74LVC574AD","SOIC-20W_7.5mm",169.545000,-97.790000,0.000000,top
"U10","74LVC574AD","SOIC-20W_7.5mm",108.585000,-67.310000,0.000000,top
"U11","74LVC574AD","SOIC-20W_7.5mm",123.825000,-67.310000,0.000000,top
"U12","74LVC574AD","SOIC-20W_7.5mm",139.065000,-67.310000,0.000000,top
"U13","74LVC574AD","SOIC-20W_7.5mm",154.305000,-67.310000,0.000000,top
"U14","74LVC574AD","SOIC-20W_7.5mm",154.305000,-113.030000,0.000000,top
"U15","74LVC574AD","SOIC-20W_7.5mm",139.065000,-113.030000,0.000000,top
"U16","74LVC574AD","SOIC-20W_7.5mm",123.825000,-113.030000,0.000000,top
"U17","74LVC74AD","SOIC-14_3.9mm",82.550000,-90.805000,0.000000,top
"U18","74LVC74AD","SOIC-14_3.9mm",82.550000,-108.585000,0.000000,top
"U19","74LVC74AD","SOIC-14_3.9mm",94.615000,-90.805000,0.000000,top
"U20","74LVC86AD","SOIC-14_3.9mm",94.615000,-117.475000,0.000000,top
"U21","74LVC32AD","SOIC-14_3.9mm",94.615000,-108.520000,0.000000,top
"U22","74LVC02AD","SOIC-14_3.9mm",82.550000,-73.025000,0.000000,top
"U23","74LVC00AD","SOIC-14_3.9mm",82.550000,-117.475000,0.000000,top
"U24","74LVC125AD","SOIC-14_3.9mm",171.450000,-121.920000,0.000000,top
"U25","74LVC32AD","SOIC-14_3.9mm",82.550000,-81.915000,0.000000,top
"U26","74LVC125AD","SOIC-14_3.9mm",94.615000,-99.695000,0.000000,top
"U27","AZ1117EH-3.3TRG1","SOT-223",212.450000,-125.200000,-90.000000,top
"U28","SST39SF040","DIP-32_W15.24mm_Socket_LongPads",183.007000,-91.440000,0.000000,top
"U29","74LVC574AD","SOIC-20W_7.5mm",108.585000,-82.550000,0.000000,top
"U30","74LVC574AD","SOIC-20W_7.5mm",123.825000,-82.550000,0.000000,top
"U31","74LVC574AD","SOIC-20W_7.5mm",139.065000,-82.550000,0.000000,top
"U32","74LVC574AD","SOIC-20W_7.5mm",154.305000,-82.550000,0.000000,top
"U33","74LVC574AD","SOIC-20W_7.5mm",169.545000,-82.550000,0.000000,top
"U34","74LVC32AD","SOIC-14_3.9mm",94.615000,-81.915000,0.000000,top
"U35","74LVC74AD","SOIC-14_3.9mm",169.545000,-58.420000,0.000000,top
"U36","74LVC74AD","SOIC-14_3.9mm",171.450000,-112.395000,0.000000,top
"U37","74LVC74AD","SOIC-14_3.9mm",82.550000,-99.695000,0.000000,top
"U38","74LVC574AD","SOIC-20W_7.5mm",108.585000,-52.070000,0.000000,top
"U39","74LVC574AD","SOIC-20W_7.5mm",123.825000,-52.070000,0.000000,top
"U40","74LVC574AD","SOIC-20W_7.5mm",139.065000,-52.070000,0.000000,top
"U41","74LVC574AD","SOIC-20W_7.5mm",154.305000,-52.070000,0.000000,top
"U42","74LVC32AD","SOIC-14_3.9mm",169.545000,-68.580000,0.000000,top
"Y1","12M","Crystal_HC49-SMD",206.216000,-106.669000,90.000000,top
